,User,Date,Count
633,divya,2021-06-15,7
634,divya,2021-06-16,3
635,divya,2021-06-18,7
636,divya,2021-06-19,4
637,divya,2021-06-22,2
638,divya,2021-06-24,12
639,divya,2021-06-25,4
640,divya,2021-06-28,1
641,divya,2021-07-05,2
642,divya,2021-07-06,2
643,divya,2021-07-08,2
644,divya,2021-07-09,6
645,divya,2021-07-10,5
646,divya,2021-07-14,2
647,divya,2021-07-18,1
648,divya,2021-07-27,4
649,rajacsp,2020-09-06,30
650,rajacsp,2020-09-07,6
651,rajacsp,2020-09-08,5
652,rajacsp,2020-09-09,3
653,rajacsp,2020-09-10,7
654,rajacsp,2020-09-11,3
655,rajacsp,2020-09-12,17
656,rajacsp,2020-09-13,1
657,rajacsp,2020-09-14,8
658,rajacsp,2020-09-15,4
659,rajacsp,2020-09-16,4
660,rajacsp,2020-09-17,1
661,rajacsp,2020-09-18,4
662,rajacsp,2020-09-19,2
663,rajacsp,2020-09-21,10
664,rajacsp,2020-09-24,1
665,rajacsp,2020-09-29,1
666,rajacsp,2020-09-30,7
667,rajacsp,2020-10-01,3
668,rajacsp,2020-10-02,3
669,rajacsp,2020-10-03,4
670,rajacsp,2020-10-04,4
671,rajacsp,2020-10-06,2
672,rajacsp,2020-10-07,3
673,rajacsp,2020-10-08,1
674,rajacsp,2020-10-09,2
675,rajacsp,2020-10-10,2
676,rajacsp,2020-10-11,1
677,rajacsp,2020-10-12,5
678,rajacsp,2020-10-13,2
679,rajacsp,2020-10-14,2
680,rajacsp,2020-10-17,1
681,rajacsp,2020-10-20,3
682,rajacsp,2020-10-21,1
683,rajacsp,2020-10-22,1
684,rajacsp,2020-10-23,1
685,rajacsp,2020-10-24,1
686,rajacsp,2020-10-25,1
687,rajacsp,2020-10-27,2
688,rajacsp,2020-11-08,1
689,rajacsp,2020-11-09,1
690,rajacsp,2020-11-18,1
691,rajacsp,2020-11-30,2
692,rajacsp,2020-12-01,1
693,rajacsp,2020-12-04,2
694,rajacsp,2020-12-05,1
695,rajacsp,2020-12-08,3
696,rajacsp,2020-12-09,2
697,rajacsp,2020-12-12,10
698,rajacsp,2020-12-14,1
699,rajacsp,2020-12-17,1
700,rajacsp,2020-12-18,3
701,rajacsp,2020-12-20,4
702,rajacsp,2020-12-23,2
703,rajacsp,2020-12-24,3
704,rajacsp,2020-12-26,4
705,rajacsp,2020-12-27,2
706,rajacsp,2020-12-28,3
707,rajacsp,2020-12-29,1
708,rajacsp,2020-12-30,5
709,rajacsp,2021-01-01,2
710,rajacsp,2021-01-02,4
711,rajacsp,2021-01-04,1
712,rajacsp,2021-01-05,2
713,rajacsp,2021-01-08,2
714,rajacsp,2021-01-09,1
715,rajacsp,2021-01-11,1
716,rajacsp,2021-01-13,1
717,rajacsp,2021-01-14,31
718,rajacsp,2021-01-14,1
719,rajacsp,2021-01-28,1
720,rajacsp,2021-01-30,1
721,rajacsp,2021-02-03,2
722,rajacsp,2021-02-06,3
723,rajacsp,2021-02-11,3
724,rajacsp,2021-02-17,1
725,rajacsp,2021-02-18,1
726,rajacsp,2021-03-06,23
727,rajacsp,2021-03-08,1
728,rajacsp,2021-03-09,5
729,rajacsp,2021-03-12,1
730,rajacsp,2021-03-13,1
731,rajacsp,2021-03-14,4
732,rajacsp,2021-03-15,4
733,rajacsp,2021-03-17,2
734,rajacsp,2021-03-20,6
735,rajacsp,2021-03-21,3
736,rajacsp,2021-03-22,3
737,rajacsp,2021-03-23,5
738,rajacsp,2021-03-24,1
739,rajacsp,2021-03-25,5
740,rajacsp,2021-03-26,1
